"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"67341099999","2024-01-01","-25.920836","32.572606","44.19","MAPUTO, MZ","  77.3","24","  72.1","24","1014.6"," 7","999.9"," 0","  7.9","24","  6.4","24"," 19.0","999.9","  82.4","*","  72.7"," ","99.99"," ","999.9","010000"
"67341099999","2024-01-02","-25.920836","32.572606","44.19","MAPUTO, MZ","  74.4","24","  68.2","24","1018.0"," 8","999.9"," 0","  7.6","23"," 10.0","24"," 14.0","999.9","  79.2","*","  68.0","*","99.99"," ","999.9","010000"
"67341099999","2024-01-03","-25.920836","32.572606","44.19","MAPUTO, MZ","  76.8","24","  65.0","24","1014.0"," 7","999.9"," 0","  8.0","24","  6.9","24","  9.9","999.9","  83.3","*","  67.1"," "," 0.00","I","999.9","000000"
"67341099999","2024-01-04","-25.920836","32.572606","44.19","MAPUTO, MZ","  78.3","24","  67.3","24","1015.4"," 8","999.9"," 0","  8.3","24","  7.4","21"," 11.1","999.9","  83.3","*","  65.7"," "," 0.00","I","999.9","000000"
"67341099999","2024-01-05","-25.920836","32.572606","44.19","MAPUTO, MZ","  77.4","24","  65.3","24","1016.8"," 8","999.9"," 0","  8.3","24","  7.5","24"," 14.0","999.9","  84.4","*","  67.6"," "," 0.00","I","999.9","000000"
"67341099999","2024-01-06","-25.920836","32.572606","44.19","MAPUTO, MZ","  79.7","24","  69.1","24","1014.3"," 7","999.9"," 0","  8.0","24","  8.3","24"," 15.0","999.9","  87.8","*","  70.9"," "," 0.00","I","999.9","000000"
"67341099999","2024-01-07","-25.920836","32.572606","44.19","MAPUTO, MZ","  81.0","24","  70.9","24","1013.1"," 5","999.9"," 0","  7.8","24","  9.7","24"," 15.0","999.9","  87.8","*","  72.1"," "," 0.00","I","999.9","000000"
"67341099999","2024-01-08","-25.920836","32.572606","44.19","MAPUTO, MZ","  81.3","24","  68.1","24","1013.6"," 7","999.9"," 0","  8.0","24","  6.7","24"," 14.0","999.9","  89.6","*","  73.4","*"," 0.00","I","999.9","000000"
"67341099999","2024-01-09","-25.920836","32.572606","44.19","MAPUTO, MZ","  80.6","24","  68.0","23","1013.0"," 8","999.9"," 0","  8.5","24","  6.5","23"," 12.0"," 22.0","  89.6","*","  71.1","*"," 0.00","I","999.9","000000"
"67341099999","2024-01-10","-25.920836","32.572606","44.19","MAPUTO, MZ","  81.1","24","  70.5","24","1011.1"," 7","999.9"," 0","  8.0","24","  6.0","24"," 13.0","999.9","  89.6","*","  74.7"," "," 0.00","I","999.9","000000"
